Project ID,Project Leader,Project Title,Fellowship recipient,Fellowshiptype
DP0450643,"Malcolm, E","Scalded memory: violence, gender and the Irish, 1169-1923 ",Dr D Hall,APD
DP0450654,"Bowen, W","Quantum spatial modes and their use in imaging, measurement, and communication",Mr WP Bowen,APD
DP0450682,"Calvo, E",The key role of the Southern Ocean in atmospheric CO2 sequestration,Dr E Calvo,APD
DP0450683,"Smernik, R",Towards a Molecular-Scale Understanding of Sorption of Organic Pollutants to Soil,Dr RJ Smernik,QEII
DP0450695,"Penttila, T",Applications of Group Theory to Finite Geometry,Mr J Bamberg,APD
DP0450742,"Hazrat, R",Algebraic K-theory and groups,Dr R Hazrat,APD
DP0450753,"Mackie, V",A Cultural History of the Body in Modern Japan,Prof VC Mackie,APF
DP0450760,"Balogh, M",External influences on galaxy evolution,Dr ML Balogh,ARF
DP0450764,"Alard, O",Toward the use of metal stable isotopes in geosciences,Dr O Alard,APD
DP0450850,"Redmond, A",Time and timelessness in Aboriginal societies as exemplified in Ngarinyin body-imagery. ,Dr AJ Redmond,APD
DP0450861,"Tenthorey, E",The Role of Hydrous Fluids in Fault Processes: An Experimental Study,Dr E Tenthorey,APD
DP0450865,"Lo, N",The evolution of diverse interactions between Wolbachia bacteria and their invertebrate hosts: insights from a novel lineage infecting termite societies,Dr N Lo,APD
DP0450878,"Jackson, H",House to House Enquiries in the Hellenistic Near East.,Dr HM Jackson,APD
DP0450901,"Dodd, B","Children's Changing Speech Error Patterns: Articulating, Listening, and Thinking",Prof BJ Dodd,APF
DP0450943,"Coupe, A",A typology of adverbial subordination and clause linkage in Tibeto-Burman languages,Mr AR Coupe,APD
DP0451001,"Corn, A",When the Waters Will Be One: Indigenous Performance Traditions at the New Frontier of Inter-Cultural Discourse in Arnhem Land,Dr AD Corn,APD
DP0451014,"O'Brien, M","Young people, preventive health discourses and self care",Dr ML O'Brien,APD
DP0451057,"Hull, T","Reducing child deaths among the poor in Asian cities: the cultural, social and institutional determinants of child survival",Dr BK Caldwell,QEII
DP0451097,"Qin, Q",Rheological and Electrical Properties of Biological Soft Tissues,Dr Z Liu,APD
DP0451114,"Nugent, M",Blackfella Historians: An Historical Study of Aboriginal History-Making in South-eastern Australia,Dr ML Nugent,APD
DP0451117,"Smith, J",The economics of mothers milk and the market for infant food,Dr JP Smith,APD
DP0451132,"Wright, C","Eureka's Women: An Intimate History of Sex, Class and Culture on the Victorian Goldfields",Dr CA Wright,APD
DP0451137,"Ginges, J",Atomic tests of unification theories,Ms JS Ginges,APD
DP0451143,"Berry, D",Resources for Quantum Networks,Dr DW Berry,APD
DP0451152,"Turney, C","Radiocarbon dating frontiers: Testing hypotheses of human evolution and environmental change in Australasia and Southeast Asia (60,000-25,000 years ago)",Dr CS Turney,QEII
DP0451177,"Nesic, D",New research directions in the area of sampled-data systems,Dr D Nesic,APF
DP0451188,"Foley, P",Encephalitis lethargica in the 1920s (and afterwards): the forgotten epidemic,Dr PB Foley,APD
DP0451191,"Watson, B",Understanding effective and satisfying communication between health providers and patients and its relationship with health outcomes ,Dr BM Watson,APD
DP0451267,"Pan, A",Development of high-temperature superconducting coated conductors by pulsed-laser deposition technique for future long-length applications,Dr AV Pan,APD
DP0451308,"Melchers, R","Mathematical modelling of tidal, splash and coastal atmospheric marine corrosion for structural reliability assessment",Prof RE Melchers,APF
DP0451376,"Nikpour, M",The Time-Varying Eigenvalue Problem with Application to Signal Processing and Control,Dr M Nikpour,APD
DP0451395,"Sadler, E",The life cycles of radio galaxies ,Dr EM Sadler,APF
DP0451415,"Kipp, S",Dynamics of identity and expression: a three generational study of a community language in post World War 2 Australia.,Dr S Kipp,APD
DP0451423,"Hoffman, M",Development of Deformation-Mechanism Based Parameters for Improved Design of Hard Coatings,Mr Z Xie,APD
DP0451429,"Riley, D",Engineering of Crystalline Ternary Ceramic Precursors,Mr DP Riley,APD
DP0451476,"Cazzolato, B",Virtual acoustic sensors for active noise control systems,Mr D Halim,APD
DP0451508,"Blackall, L",Functional Analyses of Bacteria Involved in Enhanced Biological Phosphorus Removal from Wastewater,Dr C Yeates,APD
DP0451517,"Schellart, W","Integrated dynamic models of subduction initiation, slab evolution, arc - back-arc deformation and mantle convection",Mr WP Schellart,APD
DP0451527,"Zvyagin, A",Cytorefractometry - a new technique for refractive index tomography of living cells,Dr AV Zvyagin,ARF
DP0451549,"Kranz, B",The evolution of egg retention and sex allocation: a phylogenetic contrasts study using facultatively ovoviviparous thrips,Dr BD Kranz,APD
DP0451572,"Jordan, C","The Field of Artistic Production in Colonial Australia: People, Institutions, History",Dr CW Jordan,APD
DP0451598,"Delaney, A",Characterisation of monoaminergic transmission in Central Amygdala ,Dr AJ Delaney,APD
DP0451620,"Jolly, M",Oceanic Encounters: colonial and contemporary transformations of gender and sexuality in the Pacific,Dr RM Eves,QEII
DP0451643,"Pritchard, W",Traceability as a mode of ordering: implications for developing countries’ participation in international agro-food systems,Mr J Neilson,APD
DP0451663,"Fry, B",Molecular evolution and toxinology of colubrid snake venom toxins,Dr BG Fry,APD
DP0451682,"Wyithe, S",The First Objects in the Universe,Dr S Wyithe,APD
DP0451689,"Cairns, I",Critical Issues in Space Physics,Dr IH Cairns,APF
DP0451711,"Bonduriansky, R",Intra-genomic conflict and the evolution of sexually selected traits,Mr R Bonduriansky,APD
DP0451740,"Symons, G",Brassinosteroids and Plant Development,Dr GM Symons,APD
DP0451770,"Powell, R",Mineral equilibria modelling for Earth processes,A/Prof R Powell,APF
DP0451793,"Lee, M",Extending Cognitive Models to Account for Individual Differences,Dr DJ Navarro,APD
DP0451810,"Brailsford, T",MANAGING AND MODELLING RISK AND COMPLEXITY IN THE INVESTMENT AND HEDGE FUNDS INDUSTRY,Dr J Penm,APD
DP0451830,"Carrington, D",Formalizing Software Design Pattern Concepts and Pattern Specifications using Metamodeling ,Dr S Kim,APD
DP0451868,"Hughes, W",Trade-offs underlying the evolution of female mating strategies,Dr WO Hughes,APD
DP0452120,"Safavi-Naini, R",Collusion secure  fingerprinting for dynamic groups,Dr Y Wang,APD
DP0452147,"Gottwald, G",Geometric Methods in Geophysical Fluid Dynamics,Dr G Gottwald,ARF
DP0452193,"Moles, A",Latitudinal gradients in biotic processes affecting plant growth and establishment.,Ms AT Moles,APD
DP0452223,"Novak, D",Integrated Microwave-Photonic Subsystems for Antenna Remoting Applications in Defence and Wireless Communications,Dr C Lim,ARF
DP0452237,"Williams, L",Towards a continuum model of orienting and defensive responses,A/Prof LM Williams,ARF
DP0452249,"Chen, Y",Boron Nitride Nanotub Synthesis and Applications,Ms YJ Chen,APD
DP0452264,"Copland, D",A functional imaging study of semantic processing modulated by dopamine,Dr DA Copland,APD
DP0452290,"Schubert, E",Modelling expressiveness and generation of affect in baroque and romantic music,Dr E Schubert,ARF
DP0452296,"Chen, Z",LATE PALAEOZOIC PALAEOGEOGRAPHY OF CENTRAL ASIA: A PALAEOBIOGEOGRAPHICAL APPROACH USING IMPROVED BIOSTRATIGRAPHY,Dr ZQ Chen,APD
DP0452317,"Langdon, R",Cognitive neuropsychiatry: understanding delusional belief and delusional hallucination from a cognitive neuropsychological perspective,Dr RA Langdon,ARF
DP0452333,"Chen, M",Characteristics of chlorophyll d-binding protein complexes: assembly of light-harvesting complexes,Ms M Chen,APD
DP0452357,"Spackman, M",Nonlinear optical properties of molecular crystals: An innovative approach to their determination using high-resolution X-ray diffraction data,Prof MA Spackman,APF
DP0452375,"Altermatt, P",Improving silicon grain boundaries by linking electronic material quality and device manufacturing conditions,Dr PP Altermatt,QEII
DP0452390,"Sutton, P","Cape Keerweer 1606-2006: an ethnographic history of the Wik region, Queensland",Dr PJ Sutton,APF
DP0452394,"Hoang, D",Providing End-to-End Quality of Service to Internet Applications,Dr H Zhou,APD
DP0452412,"Keith, J",Applications of Bayesian methods in Genomics and Comparative Genomics,Dr JM Keith,APD
DP0452426,"Radder, R",Facultative sex-determination in a montane lizard,Dr RS Radder,APD
DP0452442,"Davis, C",Learning to read: Representations and mechanisms underlying orthographic learning.,Dr C Davis,APD
DP0452461,"Qiao, S",Selective Adsorption throught Molecular Imprinting in Nanoporous Silica,Dr S Qiao,APD
DP0452468,"Cho, S",The theory of  interferometers in nano-scale electronics,Dr SY Cho,APD
DP0452494,"Crosbie, S","Communication outcomes of preterm children: prevalence, description and intervention.",Dr SL Crosbie,APD
DP0452522,"Cheng, C",High-Performance Magnesium Diboride-Based Nanocomposite Conductors,Dr C Cheng,APD
DP0452537,"Yu, Z",An innovative approach to fabricate thermally stable polymer/layered silicate nanocomposites,Dr Z Yu,APD
DP0452562,"Saunders, P",An Integrated Framework for Developing Credible Indicators of Deprivation and Other Distributional Markers,Prof PG Saunders,APF
DP0452621,"Cheong, W",Nanotribology of  coating on silicon using multiscale atomic-continuum modelling,Mr W  Cheong,APD
DP0452688,"Vladimirov, S",Self-organised complex ionised gas systems for ordered nanometre-scale assemblies,Dr K Ostrikov,QEII
DP0452730,"Nasimuddin, N",MICROWAVE SENSORS BASED ON MULTI-LAYER MICROSTRIP PATCH RESONATORS AND LINE RESONATORS,Mr N Nasimuddin,APD
DP0452817,"Gillett, A",Communication and Media in the Development of the Post-Roman/Early Medieval and Byzantine World (fifth to eighth centuries),Dr AK Gillett,QEII
DP0452826,"Speare, R",Epidemiology and pathogenesis of chytridiomycosis in Australian frogs,Dr L Berger,APD
DP0452829,"Ringer, S",Template-Free Synthesis of Zeolite Nanocrystals and Their Application for Zeolite-Polymer Nanocomposites,Dr H Wang,QEII
DP0452845,"Donnelly, P",New Copper and Rhenium Radiopharmaceuticals,Dr P Donnelly,APD
DP0452860,"Jin, B",Production of Biodegradable Polyhydroxyalkanoate Polymers using Advanced Biological Wastewater Treatment Process Technology,Dr B Jin,APD
DP0452937,"Pringle, J",New Materials for Energy Capture and Conversion: Ionic Liquid-derived Conducting Polymers.,Dr JM Pringle,APD
DP0453004,"Arthurson, K","Social Mix and Social Exclusion in Disadvantaged Communities: Clarifying the Links between Policy, Practice and the Evidence Base",Dr KD Arthurson,APD
DP0453023,"Goggin, G",Mobile Culture: A Biography of the Mobile Phone,Dr GM Goggin,ARF
DP0453052,"Hilder, E",In-line SPE-CE for the direct determination of drugs and metabolites in biological fluids based on porous polymer monoliths,Dr EF Hilder,APD
DP0453056,"Huang, W",Hypoplastic Modelling of Geomaterials and Applications,Dr W Huang,APD
DP0453105,"Monteiro, M",Synthesis of nanocomposite polymers with targeted properties.,Dr MJ Monteiro,QEII
DP0453116,"Olsson, M","Form, Function and Fitness: Multidisciplinary Evolutionary Biology Using Lizards as Models ",Dr MM Olsson,APF
DP0453121,"Sheehan, G",Superannuation and divorce in Australia: an evaluation of post-reform legal practice and property settlement outcomes,Dr GR Sheehan,APD
DP0453131,"Curran, J",Ask the Net: Intelligent Natural Language Learning,Mr JR Curran,APD
DP0453162,"Haverd, V",Anomalous isotope effects in atmospheric ozone and carbon dioxide,Dr V Haverd,APD
DP0453223,"Breadmore, M",Multidimensional Electroseparation Systems for the analysis of complex bilogical samples,Mr MC Breadmore,APD
DP0453250,"Wolfe, P","Xenologies:  Discourses on aliens, foreigners and other races in transnational historical contexts.",Dr P Wolfe,ARF
DP0453294,"Do, K",DEVELOPMENT OF NEW NONLINEAR CONTROLLERS FOR TRAJECTORY TRACKING AND PATH-FOLLOWING OF UNDERACTUATED OCEAN VEHICLES,Mr KD Do,APD
DP0453313,"Liu, H",Development of Novel Polymer Optical Fiber Gratings,Mr H Liu,APD
DP0453316,"Yoshizawa, M",Development of nonvolatile fast proton-transport materials,Dr M Yoshizawa,APD
DP0555897,"Hourigan, K",Fluid Dynamics of Circulation: Focus on the Kidney,Dr GJ Sheard,APD
DP0555964,"Brooks, R",Additive and non-additive genetic benefits of mating behaviour: a synthesis of sexual selection and conservation genetics,Dr RC Brooks,QEII
DP0555984,"Kamenetsky, V","Unmixing in Magmas: Melt and Fluid Inclusion Constraints on Identity, Timing, and Evolution of Immiscible Fluids, Salt and Sulphide Melts",Dr V Kamenetsky,APF
DP0555986,"Fu, B",CO2-brine behaviour in high temperature geological processes: Microanalysis and significance,Dr B Fu,APD
DP0556008,"Miller, P",Examining Overeducation and Undereducation in the Immigrant Labour Market: An International Case Study Approach,Prof PW Miller,APF
DP0556049,"Humphrey, T",High efficiency thermoelectric nanomaterials,Dr TE Humphrey,APD
DP0556070,"Hall, P",Theory and Applications of Computer-Intensive Statistical Methods,Prof PG Hall,APF
DP0556082,"Hunt, J",The Maintenance of Genetic Variation by Antagonistic Sexual Selection,Dr J Hunt,QEII
DP0556111,"Eickelkamp, U","Playing for Life: A Case Study in Childhood, Culture and Transition",Dr U Eickelkamp,APD
DP0556115,"Price, G","Active bicarbonate transporters from cyanobacteria: physiological properties, genetic regulation, and introduction into plants for crop improvement",Dr FJ Woodger,APD
DP0556126,"Warr, G",Surfactant Self-Assembly in Ionic Liquids,Dr R Atkin,APD
DP0556133,"Sandiford, M",Neotectonics of the Indo-Australian plate,Prof MA Sandiford,APF
DP0556134,"Wong, B",Sexual signalling and parental care: A life-history perspective,Mr BB Wong,APD
DP0556144,"Hibbs, D","Experimental Electron Densities, Crystal Engineering and Molecular Recognition: A Supramolecular Approach to Drug Design",Dr DE Hibbs,ARF
DP0556154,"Kile, B",GENOMIC/PHENOMIC IDENTIFICATION AND CHARACTERISATION OF NOVEL HEMATOPOIETIC REGULATORS,Dr BT Kile,QEII
DP0556184,"Price, H",Time and Perspective in the Quantum World,Prof J Ismael,QEII
DP0556210,"O'Connor, S",Transformations and Persistence in the Holocene in East Timor: Unpacking the Island Southeast Asian Neolithic and Metal Age Cultural Packages,Ms K Szabo,APD
DP0556211,"Andrews, B",Singularities and surgery in geometric evolution equations,Dr JA McCoy,APD
DP0556248,"Pitkethly, J","The theory of natural dualities: old questions, new techniques",Dr JG Pitkethly,APD
DP0556282,"Rawlinson, N",Exploring deep Australia: 3-D imaging of the lithosphere beneath south-east Australia using multiple high density seismic arrays,Dr N Rawlinson,APD
DP0556302,"Cirstea, F",Singular phenomena for nonlinear partial differential equations arising in applications,Miss F Cirstea,APD
DP0556311,"Heazlewood, J",Protein modifications in plant mitochondria: towards functional proteomics,Dr JL Heazlewood,APD
DP0556336,"Lucas, N",Metallographitic Discs as New Materials,Dr NT Lucas,APD
DP0556345,"Flambaum, V",Test of unification theories in atomic and nuclear phenomena,Prof V Flambaum,APF
DP0556376,"Raston, C",Integrated self assembly processes and spinning disc reactor technology,Prof CL Raston,APF
DP0556419,"Sinclair, J","Globalisation and the media in Australia: an integrated analysis of trends and impacts, with special reference to the advertising industry.    ",Prof JG Sinclair,APF
DP0556420,"Chong-Gossard, J","Public and Private Lies: Retelling the clash of duty, power and sexual indulgence in the Roman imperial court",Dr AJ Turner,APD
DP0556421,"McNaughton, D",Vibrational Spectroscopy and Imaging from Interstellar Dust to Life,Dr D McNaughton,APF
DP0556431,"Shparlinski, I",Mathematics of Cryptography,A/Prof I Shparlinski,APF
DP0556472,"Taylor, A","A comparative study of history education in Australia and Canada, examining the relationship between school history and broader historical debates.",Ms AH Clark,APD
DP0556484,"Neilan, B",Sodium homeostasis and the molecular basis for neurotoxin production by bacteria and algae,A/Prof BA Neilan,APF
DP0556492,"Jesson, D",Exploring the Dynamics of Nanostructure Self-Organisation during Compound Semiconductor Epitaxy,Dr U Denker,APD
DP0556493,"Dutkiewicz, A","Biosphere, hydrocarbon and ore fluid interactions in the Early Precambrian",Dr A Dutkiewicz,QEII
DP0556517,"Searle, A",Global Gravitational Wave Astronomy,Mr AC Searle,APD
DP0556550,"Loader, W","Attitudes towards Sexuality in Judaism and Christianity in the Hellenistic Greco-Roman Era: The First Comprehensive Analysis, in two volumes.",Prof Dr WR Loader,APF
DP0556554,"Gaus, K",Lipid raft and cyotoskeleton organization: How membrane domains give cells direction,Dr K Gaus,ARF
DP0556600,"Gu, Y",Advanced computational techniques for micro/nano multiscale systems of NEMS/BioMEMS,Dr Y Gu,APD
DP0556602,"Hester, R","Examining the relationship between error processing, cognitive control and emotion: a cognitive neuroscience approach",Dr RL Hester,APD
DP0556609,"Caruso, F",Controlled Macromolecular Architectures for Functional Nanomaterials Design,Dr JF Quinn,APD
DP0556629,"Chong, M",Surface roughness and its effects on wall-bounded turbulence,Mr JP Monty,APD
DP0556630,"Chung, R",Using metallothioneins as a model for understanding cellular and biochemical interactions between neurons and astrocytes within the brain,Dr R Chung,APD
DP0556641,"Seabrooke, L","Closing the Political Legitimacy Gap: The International Monetary Fund and Tax Reform, 1965-2005",Dr L Seabrooke,APD
DP0556659,"Del Favero, D",Co-evolutionary narrative as machine autonomy in the relationship between artificial agents and human participants in interactive cinema,Dr D Del Favero,QEII
DP0556686,"Veracini, L",The Indigenous Histories of Settler Societies,Dr L Veracini,APD
DP0556700,"Rubatto, D",Accessory minerals and trace elements as monitors of partial melting and high-grade metamorphic processes in the crust. ,Dr D Rubatto,QEII
DP0556706,"Radom, L",Free Radicals in Chemistry and Biology:  A Computational Quantum Chemistry Investigation,Prof L Radom,APF
DP0556771,"Lawrence, S","Life on the Edge:  Pre-Gold Rush Settlement in South Gippsland, Victoria",Dr AM Brooks,APD
DP0556817,"Tham, W",Identification of the basic elements of Plasmodium transcription,Dr W Tham,APD
DP0556831,"Schaap, A","Fragility and Security: Human Rights, State Wrongs and Democratic Solidarity",Dr AW Schaap,APD
DP0556836,"Perugini, M",The ApoE Interactome in Human Plasma,Dr MA Perugini,APD
DP0556845,"Wang, X",Modelling the stability and efficiency of ring spinning,Dr Z Tang,APD
DP0556874,"Spriggs, M","Northern Vanuatu as a Pacific Crossroads: The archaeology of discovery, interaction and the emergence of the ethnographic present",Dr SH Bedford,APD
DP0556876,"Brewer, N",Eyewitness identification: Metacognitive influences on choosing behaviour,Mr N Weber,APD
DP0556895,"Fuerbach, A",High precision material processing using ultrashort laser pulses at MHz repetition rates,Dr A Fuerbach,APD
DP0556898,"Scott, A","Bowers of Bliss: Literary and Cultural Representations of Luxury in Early Modern England, 1580-1630",Dr A Scott,APD
DP0556925,"Hopkins, L","Community, Identity and Media Use: Understanding the Turkish Community in Australia",Dr L Hopkins,APD
DP0556977,"Barnett, J",Climate Change and Security in the South Pacific,Dr JR Barnett,ARF
DP0557018,"Zeil, J",Moving to be seen: a comprehensive analysis of movement-based signal design,Dr RA Peters,APD
DP0557028,"Trevaskes, S",Striking Hard at crime: criminal justice practice in China today,Dr SE Trevaskes,APD
DP0557050,"Gardiner, J",Engineering plants via modified microtubule dynamics,Dr JC Gardiner,APD
DP0557093,"Tobar, M",New High Precision Tests on the Standard Model of Physics and Relativity,Dr JG Hartnett,QEII
DP0557113,"Kessissoglou, N",Active vibration control of a fluid loaded cylinder using inertial and reactive actuators,Dr L Benassi,APD
DP0557143,"Barrows, T",Cosmogenic isotopes in glacial landscapes: climate change and production rates,Dr TT Barrows,APD
DP0557154,"Dillon, T","Generalizing Multi-level Decision Support Handling Multi-objectives, Multi-followers and Uncertainty for Critical Resource Planning",Dr G Zhang,QEII
DP0557156,"McDonald, P",Measurement and explanation of family change in Australia in comparative perspective: a longitudinal approach,Dr PD Brandon,APF
DP0557159,"Walker, I",Arabian Africans or African Arabs? The dynamics of Islamic African identity in the Arabian Peninsula,Dr IB Walker,APD
DP0557178,"Krongold, B",Next-Generation OFDM Communication Systems: Analysis and Design for the Physical Layer,Dr B Krongold,APD
DP0557190,"Kemp, D",Nanotechnology in nature: the evolutionary significance of iridescent ultraviolet colouration in butterflies,Dr DJ Kemp,APD
DP0557213,"Zhang, M",Surface Nanocrystallization and Surface Alloying of Nonferrous Alloys,Dr M Zhang,ARF
DP0557243,"Sims, A","Operator algebras associated to product systems, and higher-rank-graph algebras",Mr AD Sims,APD
DP0557272,"Casey, M",Confronting Representations: Performing Indigenous Protests,Dr M Casey,APD
DP0557285,"Siebeck, U",HIDE AND SPEAK - COLOUR COMMUNICATION IN REEF FISH,Dr UE Siebeck,APD
DP0557288,"Xiong, X",Development of SmCo-based High Temperature Permanent Magnets: Microstructure and Coercivity Mechanism,Dr X Xiong,APD
DP0557331,"Schofield, S",Silicon-based molecular electronics,Mr SR Schofield,APD
DP0557349,"Huang, H",Nano/micro grinding mechanisms and technologies for brittle materials,Dr H Huang,ARF
DP0557370,"Lyons, L",Trans/national activism: Organizing for Domestic Worker Rights in Southeast Asia,Dr T Devasahayam,APD
DP0557465,"Flood, M",Young Heterosexual Men's Sexual Relations: Contributions to sexual and reproductive health,Dr MG Flood,APD
DP0557483,"Lee, H",Real-Time Integration of GPS with INS For Precise Long-Baseline Kinematic Positioning ,Mr H Lee,APD
DP0557494,"Sgro, C",Breaking selective constraints: is Hsp90 a capacitor of evolutionary change?,Dr CM Sgro,ARF
DP0557499,"Brocks, J",Reconstruction of anoxic and toxic conditions in Australian lakes and ancient oceans,Dr JJ Brocks,QEII
DP0557524,"Nguyen, N",Vietnamese Women: Voices and Narratives of the Diaspora,Dr NH Nguyen,ARF
DP0557532,"McKenzie, R",Quantum states of matter: from spin liquids to superconductors,Dr BJ Powell,APD
DP0557544,"Pan, A","Development of new technology for coated conductors able to carry ""over-critical"" current densities",Mr S Zhou,APD
DP0557590,"Harris, I",Recognition of rotated objects: paying attention to orientation,Dr IM Harris,QEII
DP0557592,"MacDonald, H",Possessing the Dead: The Artful Science of Anatomy,Dr H MacDonald,APD
DP0557608,"Hope, J",Co-operative intellectual property management and technology transfer for the Australian biotechnology industry,Ms JE Hope,APD
DP0557612,"Forgas, J","Hearts and minds: Affect, thinking and behaviour",Prof JP Forgas,APF
DP0557618,"Baird, M",Development of a coupled physical-biological model of size-structured biota in marine waters.,Dr ME Baird,ARF
DP0557625,"Stachurski, J",A Principled Approach to Computer Simulation of Dynamic General Equilibrium Macroeconomic Models,Dr J Stachurski,APD
DP0557645,"Lam, P",Continuous Variable Quantum Information Experiments ,Dr P Lam,QEII
DP0557648,"Agrawal, A",Lattice Boltzmann method based simulation of complex microchannels and mixing at micro-scales,Dr A Agrawal,APD
DP0557687,"Mitchell, N",Calls and constraints: do male frogs signal direct benefits?,Dr NJ Mitchell,APD
DP0557692,"Mathesius, U",Are flavonoids metabolic regulators of plant development?,Dr U Mathesius,ARF
DP0557701,"Clarke, C",Characterisation of two-pore domain potassium channels: structure-function studies of the M1-P1 loops of TASK channels.,Dr CE Clarke,APD
DP0557726,"Dippenaar, R",Competitive nucleation and growth during rapid solidification of steel,Dr DJ Phelan,APD
DP0557733,"Su, Z",Online Structural Health Monitoring (SHM) System Using Active Diagnostic Sensor Network,Mr Z Su,APD
DP0557755,"Peters, A","Food and sex: ecological and sexual roles of a functional ornament, the red bill of the sooty oystercatcher",Dr A Peters,APD
DP0557803,"Guijt, R",Disposable microdevices for fast ion analysis,Dr RM Guijt,APD
DP0557834,"Renfree, M",Extrinsic Control of Mammalian Germ Cell Delineation,Dr DE Hickford,APD
DP0557839,"Bekki, K",Formation and evolution of galaxies in the Local Group,Dr K Bekki,ARF
DP0557849,"Tomkins, J",Quantifying condition-dependence in sexual selection,Dr JL Tomkins,ARF
DP0557850,"Hopkins, A",A new approach to understanding galaxy evolution,Dr AM Hopkins,QEII
DP0557873,"Bishop, J",Interpreting spoken Aboriginal English: the communicative role of intonation,Dr JB Bishop,APD
DP0557876,"Faulkner, H",Moving-beam phase retrieval - a route to better microscopy!,Dr HM Faulkner,APD
DP0557889,"Tyers, R",Economic consequences for Australia of global demographic change,Dr Q Shi,APD
DP0557951,"Ge, Y",Microwave Antennas based on Metamaterials,Dr Y Ge,APD
DP0557970,"Yu, A","Granular dynamics: theories, modelling and simulation",Prof AB Yu,APF
DP0558022,"Griffin, A",Social learning about predators: is it just Pavlovian conditioning?,Dr AS Griffin,APD
DP0558058,"Weller, S",Older Workers and Labour Market Adjustment: The Case of Ansett Airlines,Ms S Weller,APD
DP0558091,"Minett, A",Novel Carbon Nanotube Composite Materials: Elucidation of key properties for device development,Dr AI Minett,QEII
DP0558130,"Fletcher, R","Urban Infrastructure, Inertia and Ecology: the growth and decline of Angkor, Cambodia (9th to 16th Century AD)",Dr DA Penny,ARF
DP0558161,"Symonds, M",Pheromone evolution and ecology in insects on intra- and inter-specific scales,Dr MR Symonds,APD
DP0558185,"Arns, C",Transport properties from Nuclear Magnetic Resonance,Dr CH Arns,APD
DP0558186,"Kenny, D",Enhancing quality in western classical singing and pedagogy,Ms H Mitchell,APD
DP0558189,"Yaxley, G",Mantle Heterogeneity: an exploration of the melting behaviours of compositional heterogeneities in the Earth's Mantle,Mr C Spandler,APD
DP0558206,"Kohonen, M",Wet Granular Materials: A Three-Dimensional Study Using X-Ray Microtomography.,Dr MM Kohonen,APD
DP0558233,"Carano, M","Novel Scanning Electrochemical Microscopy applications in molecular, supramolecular electrochemistry and biological systems",Dr M- Carano,APD
DP0558262,"Bulleri, F",The interplay between natural and human perturbations in structuring marine habitats,Dr F Bulleri,APD
DP0558271,"Carey, J","Promoting Whiteness: Race Science and the Making of the Middle-Class Woman in Australia, 1880-1940",Dr JL Carey,APD
DP0558340,"Micallef, A",Redox-Tuneable Sensitisers for Photodynamic Therapy of Malignant and Non-Malignant Proliferative Diseases,Dr AS Micallef,APD
DP0558370,"Gilbert, R",The implications of low-ductility reinforcement and strain localisation on the strength and ductility of reinforced concrete two-way slabs,Prof RI Gilbert,APF
DP0558402,"Hassan, R",Suicide Terrorism: The Use of Life as a Weapon,Prof R Hassan,APF
DP0558406,"Einav, I",Continuum Damage Mechanics in Geotechnical Engineering,Dr I Einav,APD
DP0558411,"Wright, I","Leaf economics, and the acquisition and use of water and nitrogen for photosynthesis",Dr IJ Wright,APD
DP0558468,"Makarenko, A",Integrating human operators into large-scale sensor networks,Mr A Makarenko,APD
DP0558477,"Hill, B",Basho's Men : Making Poetic Places; Harold Stewart's travelling in Japan/John Wolseley's texts from Japan,Mr B Hill,APD
DP0558573,"Dryzek, J",The Micropolitics of Deliberation,Dr SJ Niemeyer,APD
DP0558598,"Paoli, S",HIGHER CATEGORICAL STRUCTURES IN HOMOTOPY THEORY AND HOMOLOGICAL ALGEBRA,Dr S Paoli,APD
DP0558625,"Kent, F",Lorenzo de Medici and Renaissance Italy,Prof FW Kent,APF
DP0558628,"Boswell, R",Preparation of silica-based thin film materials with large optical nonlinearity,Dr WT Li,APD
DP0558668,"Marshall, J",Colour vision and photoreceptors in reef fish: a model system to discover the function of double cones,A/Prof JN Marshall,APF
DP0558681,"Hart, N",Aquatic eye design: sharks and rays as models of underwater colour and luminance vision.,Dr NS Hart,QEII
DP0558696,"Garcia-Gonzalez, F","Causes and consequences of multiple mating: Benefits of polyandry, sperm competition, and reproductive costs.",Dr F Garcia-Gonzalez,APD
DP0558710,"Waite, T",Mechanisms of Iron Acquisition by the Cyanobacterium Trichodesmium in Coastal Waters,Mr AL Rose,APD
DP0558753,"Wang, X",Exploration for new materials for spintronics,Dr X Wang,QEII
DP0558763,"Gold, I",The Epistemology of Colour Vision,Dr M Chirimuuta,APD
DP0558887,"Tibby, J",European impact on Eastern Australian coastal lakes: understanding pre-impact conditions and post-settlement modification.,Dr J Tibby,APD
DP0558916,"Williams, H",Using Past Queries for Fast and Accurate Web Searching,Dr A Turpin,QEII
DP0558938,"Piana, S",Computer simulation of DNA biochips,Dr S Piana,ARF
DP0558995,"Goddard, C","Natural Semantic Metalanguage (NSM): formalisation, computation, referential semantics",Dr AC Schalley,APD
DP0559128,"Marler, J",Benchmark Studies of Positron Interactions with Helium,Ms JP Marler,APD
DP0559131,"Palaniswami, M",Congestion Control for the Future Internet,Dr W Wang,APD
DP0559242,"Pizarro, O",High-resolution multispectral underwater imaging for coral reef mapping and characterization,Mr O Pizarro,APD
DP0559266,"Hill, R",Global differentiation of the conifer flora,Dr TJ Brodribb,ARF
